areaServicioDescripcion,observaciones,label_id,true_label_id,pred_label_id,confidence,true_label,pred_label,is_correct,prob_Arbolado Urbano,prob_Obras Públicas,prob_Higiene Urbana,prob_CLIBA (Higiene Urbana),prob_Alumbrado
Higiene Urbana,"vecino informa que tanto el contenedor de organicos como de plasticos fueron retirados de la cuadra, solicita que sean repuestos. lonardi esquina lynch",2,2,2,0.74723333,Higiene Urbana,Higiene Urbana,True,0.0005622467,0.0020135348,0.74723333,0.24864416,0.001546753
Higiene Urbana,solicito contenedor en la calle francia 3200,2,2,2,0.9731363,Higiene Urbana,Higiene Urbana,True,0.0010674563,0.002776823,0.9731363,0.022271816,0.0007476142
CLIBA (Higiene Urbana),vecino informa que tiene un bolson de escombro en la vereda de su domicilio,3,3,2,0.5406069,CLIBA (Higiene Urbana),Higiene Urbana,False,0.0010239821,0.06806256,0.5406069,0.38809097,0.002215612
CLIBA (Higiene Urbana),castelli esquina cuyo retiro de poda delegación martínez.,3,3,3,0.99232787,CLIBA (Higiene Urbana),CLIBA (Higiene Urbana),True,0.0007895566,0.001279119,0.0044988957,0.99232787,0.001104552
CLIBA (Higiene Urbana),recoleccion de escombros,3,3,3,0.99443346,CLIBA (Higiene Urbana),CLIBA (Higiene Urbana),True,0.00063599827,0.00055777095,0.0036776864,0.99443346,0.00069506874
Alumbrado,"vinieron a cortar ramas, pero fueron solo las de abajo. la luminaria continua obstruida y no hay luz.",4,4,4,0.8860832,Alumbrado,Alumbrado,True,0.10534803,0.0012876858,0.0018792051,0.0054018106,0.8860832
Arbolado Urbano,"ya se efectuo el recorte de raices, quedo pendiente el arreglo de la vereda.",0,0,0,0.9952863,Arbolado Urbano,Arbolado Urbano,True,0.9952863,0.0025868411,0.000730014,0.0009389294,0.00045797834
Arbolado Urbano,"vecina solcito plantación de un ejemplar, informa que extrajeron su ejemplar hace 5 meses aproximadamente y no volvieron a colocar un nuevo ejemplar. adjunto reclamo anterior que inicio la fecha 12112024 n7306496 dado por incompleto. dirección dean funes 1413",0,0,0,0.81496775,Arbolado Urbano,Arbolado Urbano,True,0.81496775,0.012505512,0.044139083,0.11842028,0.009967458
CLIBA (Higiene Urbana),"pasaje la unión 650 ,martinez entre sargento cabral y necochea",3,3,1,0.8315569,CLIBA (Higiene Urbana),Obras Públicas,False,0.028047876,0.8315569,0.07859236,0.031517208,0.030285696
Arbolado Urbano,rama de árbol rota colgando en altura con peligro de caer sobre cableado info caro 291 rama quebrada requiere hidro ya que esta en lo alto de la copa,0,0,0,0.9869648,Arbolado Urbano,Arbolado Urbano,True,0.9869648,0.0031730079,0.00020620982,0.0026127158,0.007043225
CLIBA (Higiene Urbana),"cuando rompieron han dejado escombros dentro del caño de desagüe , además esa vereda está bastante rota y ahí está la parada del colectivo",3,3,1,0.9313514,CLIBA (Higiene Urbana),Obras Públicas,False,0.009163553,0.9313514,0.005398302,0.043675892,0.010410845
Obras Públicas,"calle rota, deteriorada, ...",1,1,1,0.9792184,Obras Públicas,Obras Públicas,True,0.009021688,0.9792184,0.006494602,0.0018529485,0.0034122649
Arbolado Urbano,"pedido por un palo borracho que esta levantado toda la vereda . el arbol tiene muchos años informe carorila 3102024reparar con baldosas vainilla, rehacer cinta verda.",0,0,0,0.99542964,Arbolado Urbano,Arbolado Urbano,True,0.99542964,0.0012865879,0.0011703407,0.00070017215,0.0014131616
CLIBA (Higiene Urbana),con almeja.,3,3,3,0.93109393,CLIBA (Higiene Urbana),CLIBA (Higiene Urbana),True,0.0028369015,0.0104420725,0.0329471,0.93109393,0.022679973
Higiene Urbana,hace semanas que no tenemos barrendero en toda la calle de delfin gallo y tampoco vienen a retirar las hojas barridas por las vecinas. solicitamos servicios de barrido y de retiro de lo verde en forma inmediata,2,2,2,0.9819741,Higiene Urbana,Higiene Urbana,True,0.00094118185,0.00063231605,0.9819741,0.015922898,0.00052944507
CLIBA (Higiene Urbana),por favor retirar el contenedor. la gente baja de los autos basura y los tira ahi y fuera del contensor a pesar del cartel que prohibe tirar basura. no respetan la limpieza y en toda la cuadra hay basura que vuela porq la gente rompe las bolsas y tira lo que esta en en contenedor q la calle. no podemos vivir con esta suciedad!!! pongan el contenedor sobre juan b justo o por favor sacarlo y los vecinos sacamos la basura a los cestos que estan en nuestra vereda que mantenemos limpios y prolijos,3,3,3,0.6737541,CLIBA (Higiene Urbana),CLIBA (Higiene Urbana),True,0.00073500717,0.0018222362,0.32291967,0.6737541,0.00076893443
Arbolado Urbano,"el vecino francisco olano denuncia una poda ilegal de su vecino a las 0000, nos informa que es la tercera vez consecutiva que lleva a cabo la misma, también comenta que anteriormente perjudicaron los cables de tensión dejando la cuadra sin luz. m. rodríguez 1575",0,0,0,0.9500865,Arbolado Urbano,Arbolado Urbano,True,0.9500865,0.0017554278,0.0038398218,0.0042229444,0.04009528
Higiene Urbana,pedazos de vidrios sobre calzada,2,2,3,0.78418076,Higiene Urbana,CLIBA (Higiene Urbana),False,0.008478482,0.09305747,0.110867865,0.78418076,0.003415438
Obras Públicas,pozo gigante en la esquina,1,1,1,0.9405456,Obras Públicas,Obras Públicas,True,0.012790254,0.9405456,0.020260613,0.0050921626,0.021311317
Arbolado Urbano,"referente al evento sge n.981756. siendo las 1737 horas, se comunica a la linea de emergencias vecino de nombre rodolfo espinosa informando que en la arteria mosconi 241 de la localidad de béccar hay una rama de gran porte quebrada en altura. se desplazó el inspector perez a cargo del móvil de la patrulla municipal número 378 quien a su arribo constató positivo incidente. se adjuntan fotogrfías. operadora albrecht lucila, legajo 71.042",0,0,0,0.9665435,Arbolado Urbano,Arbolado Urbano,True,0.9665435,0.014420943,0.006684062,0.008725854,0.003625608
CLIBA (Higiene Urbana),bolsón de escombros.,3,3,3,0.99083334,CLIBA (Higiene Urbana),CLIBA (Higiene Urbana),True,0.0007673752,0.0018535111,0.005685321,0.99083334,0.0008605237
Alumbrado,"comentario del vecino. les reitero que varias lámparas de artefactos que están a cada lado de josé ingenieros, en el sentido de acceso a tigre hacia josé e rodo, estás permanentemente apagadas. oportunamente uds. me informaron que ya tenían identificado este tema. lamentablemente sigue la falta de respuesta",4,4,4,0.9839544,Alumbrado,Alumbrado,True,0.011084811,0.0024945664,0.00092630344,0.0015400018,0.9839544
Higiene Urbana,el contenedor que había en la esquina de avenida márquez y calle haedo desapareció hace más de 15 días. espero que lo puedan reponer. solo quedó el amarillo para el reciclable. gracias,2,2,3,0.5455812,Higiene Urbana,CLIBA (Higiene Urbana),False,0.0005791937,0.0023536345,0.44945478,0.5455812,0.0020311698
Obras Públicas,"hay muchos baches acentuados, muchos vecinos piden que se rellene y se repare en warnes entre reclus y blanco encalada.",1,1,1,0.9617756,Obras Públicas,Obras Públicas,True,0.0019653563,0.9617756,0.030443896,0.0033465268,0.0024686828
Higiene Urbana,"vecina enojada, solicita que pase el personal de barrido.",2,2,2,0.9340932,Higiene Urbana,Higiene Urbana,True,0.0036392256,0.0013251518,0.9340932,0.05771002,0.0032324155
Arbolado Urbano,"las ramas de los paraísos, están sobre mi casa lo que hace que rompan las tejas",0,0,0,0.9765514,Arbolado Urbano,Arbolado Urbano,True,0.9765514,0.0011278462,0.0036337718,0.015480063,0.0032069208
Arbolado Urbano,"el vecino tuvo grandes problemas a causa de ramas que se cayeron sobre su domicilio en los dias de tormenta, por lo que se ocupó de manera particular de resolver, pagando a un muy alto precio. en esta oportunidad, solicita que se extraiga el arbol el cual se encuentra podrido y que se lo reemplace por otro. gobernador arana 1972 , reclamo anterior 7892800",0,0,0,0.99671966,Arbolado Urbano,Arbolado Urbano,True,0.99671966,0.00069447036,0.0005510745,0.0012443803,0.00079033524
Arbolado Urbano,"figueroa alcorta 1245 un arbol grande, las ramas estan quebradas y tocando los cables. tiene miedo de que en alguna tormenta se caigan lols cables.",0,0,0,0.99602,Arbolado Urbano,Arbolado Urbano,True,0.99602,0.000546813,0.0004005891,0.001981919,0.0010507193
Arbolado Urbano,se solicita raleo de raíces por un ginkgo biloba que levanta la vereda.,0,0,0,0.9949833,Arbolado Urbano,Arbolado Urbano,True,0.9949833,0.0015163654,0.0010803181,0.0013273517,0.0010925973
CLIBA (Higiene Urbana),"por favor necsito que me ayuden, estoy esperando hace mess que alguien recoja los escombros,",3,3,3,0.9848705,CLIBA (Higiene Urbana),CLIBA (Higiene Urbana),True,0.0003136527,0.0014179072,0.012591592,0.9848705,0.00080633117
Alumbrado,luces apagadas hace varios meses ya realice varios reclamos,4,4,4,0.99516344,Alumbrado,Alumbrado,True,0.0015681895,0.00068942126,0.0009967082,0.0015822126,0.99516344
Arbolado Urbano,"según evento sge número 912031. siendo las 0951 horas, agente de protección civil garcía sergio informo que vecinos de la cuadra lo interceptaron y le refirieron de un árbol tupido el cual la copa del mismo tapa una columna de alumbrado provocando que en noche haya mas oscuridad. personal agrego que el árbol esta podrido, solicita que el mismo sea evaluado. se solicita intervención a la brevedad a la brevedad. informa operadora salica soledad legajo 71560",0,0,0,0.9696269,Arbolado Urbano,Arbolado Urbano,True,0.9696269,0.0034901907,0.010001424,0.001008376,0.015873129
Alumbrado,alumbrado con problemas,4,4,4,0.9918384,Alumbrado,Alumbrado,True,0.0029178492,0.0012743729,0.0029595606,0.001009884,0.9918384
CLIBA (Higiene Urbana),no deja subir mas fotos pero varias casas estan en similares condiciones. igualmente barrendero,3,3,2,0.8322248,CLIBA (Higiene Urbana),Higiene Urbana,False,0.00212611,0.0075358925,0.8322248,0.15086892,0.007244257
Arbolado Urbano,"info romina 2312 especie a definir. cta verde apta, predominante mix, ancho 3m.",0,0,0,0.9901029,Arbolado Urbano,Arbolado Urbano,True,0.9901029,0.0007728388,0.0012429846,0.002975416,0.0049059424
Higiene Urbana,hace 2 semanas que no pasa.,2,2,2,0.9277217,Higiene Urbana,Higiene Urbana,True,0.0006642225,0.006131915,0.9277217,0.049574014,0.01590814
Arbolado Urbano,"segun evento sge n995565, siendo las 0804 horas se comunica el señor ramirez ruben, con número de contacto 1561174666, informando que en la arteria paso 152, entre albarellos y arenales, en la localidad de martínez, una rama de gran porte al caer corto cables, como referencia aporto que se encuentra en la entrada de una cochera. se desplazó agente guiñazu gastón de defensa civil, quién a su arribo informo que se trataba de un tronco de gran porte fisurado, el cual tapa el ingreso de un garage y al caerse corto cables de fibra óptica de cablevisión. informa op.cardinaux legajo 73126 informe tecnico carolina 91124 extraccion debido a los daños y magnitud del mismo",0,0,0,0.9926789,Arbolado Urbano,Arbolado Urbano,True,0.9926789,0.0026567767,0.00084216107,0.0029651704,0.00085705105
Arbolado Urbano,"vecina alicia comunica que en la calle french 2473 se encuentra un ficus grande donde sus ramas molesta a la vecina, ya que los pájaros se paran encima y ensucian todo y las a canaletas con hojas y bolitas. pide poda lo antes posible",0,0,0,0.9915884,Arbolado Urbano,Arbolado Urbano,True,0.9915884,0.0011543919,0.0020971305,0.0048152995,0.00034479142
Arbolado Urbano,"estimados buenas tardes los molesto por este medio por el tema de las veredas, lamentablemente por las raíces de los arboles han levantado las mismas y están en muy malas condiciones ocasionando caídas a los peatones, por favor les pido de reparar las veredas a la brevedad ya que son muy transitadas. muchas gracias saludos silvana riverside school",0,0,0,0.9450294,Arbolado Urbano,Arbolado Urbano,True,0.9450294,0.050452635,0.0009790125,0.0016893183,0.0018497006
Obras Públicas,"vecino, reclama por problema con obra con cantero. comenta que cuando pasan los camiones se chocan mucho con el cantero.",1,1,1,0.9769528,Obras Públicas,Obras Públicas,True,0.01337749,0.9769528,0.005374975,0.0014617463,0.0028330504
CLIBA (Higiene Urbana),recoleccion de basura.,3,3,3,0.989019,CLIBA (Higiene Urbana),CLIBA (Higiene Urbana),True,0.00039001484,0.00048482363,0.009276241,0.989019,0.00082990906
Arbolado Urbano,árbol pierde grandes ramas,0,0,0,0.8907293,Arbolado Urbano,Arbolado Urbano,True,0.8907293,0.001701009,0.0040101837,0.0977634,0.0057961075
Arbolado Urbano,"referente al evento sge n.981.088. siendo las 2010 horas, se comunica a la linea de emergencias vecino de nombre rodolfo gonzalez denunciando que en la arteria ipiranga 922 y pablo abriata de la localidad de boulogne que se encuentra un árbol con riesgo de caída. se desplazó el agente guiñazu gaston de protección civil informando que se trata de un árbol de mediano porte con su base removida en donde se visualiza las raices, por lo que posee riesgo de caída. se adjuntan fotografías. operadora albrecht lucila, legajo 71.042 info gianna 252 refaleo , eliminacion intyerferencia en la propiedad",0,0,0,0.9946473,Arbolado Urbano,Arbolado Urbano,True,0.9946473,0.002026486,0.0014041397,0.0014790132,0.00044292735
Arbolado Urbano,la vecina dice que no terminaron de hacerle la vereda que fueron y la realizaron pero que l falta cemento y que aparte dejaron una placa de cemento muy pesada que ella no la puede levantar que por favor vayan a terminar de hacer la vereda y que retiren esa placa de cemento,0,0,1,0.91760767,Arbolado Urbano,Obras Públicas,False,0.036672816,0.91760767,0.003815088,0.026789874,0.01511453
CLIBA (Higiene Urbana),vaciar tachos. puerta de la uba.,3,3,3,0.9212215,CLIBA (Higiene Urbana),CLIBA (Higiene Urbana),True,0.0011233407,0.0033506628,0.072268985,0.9212215,0.0020354742
Alumbrado,sobre toda la cuadra 8 o 10 faroles no estan funcionando de av cura allievi del 300 al 400,4,4,4,0.9917744,Alumbrado,Alumbrado,True,0.0045596,0.002064785,0.0011120487,0.0004892175,0.9917744
Arbolado Urbano,rama colgando,0,0,0,0.90701526,Arbolado Urbano,Arbolado Urbano,True,0.90701526,0.0035669708,0.006688526,0.06207236,0.02065686
Arbolado Urbano,"reiterados reclamosque hice a distintos sectores cuyo número es 3484120...que detallo a continuaciónhoja de palmera enrredada en los cables...hoja de palmera golpeando los techos de los dormitorios,raicez de palmera destruyeron cantero y cordón de vereda...sobran las palabras y las mido en mi estado de impotencia ante la indiferencia de mis reclamos.espero su pronta intervención. informe ing. sencio 4225 ramas quebradas",0,0,0,0.9976451,Arbolado Urbano,Arbolado Urbano,True,0.9976451,0.00093144557,0.0003434375,0.00062301813,0.000456936
Higiene Urbana,"vecino informa que el servicio de barrendero no pasa como corresponde, manifiesta que hace más de 1 semana que no pasan por su cuadra dirección colombres 1100 entre miguel cane y pedernera",2,2,2,0.9829009,Higiene Urbana,Higiene Urbana,True,0.00030854624,0.0013214594,0.9829009,0.01430074,0.001168389
CLIBA (Higiene Urbana),retiro se escombro suelto. reiterado. por favor no poner cumplido sin retirar. delegación martinez,3,3,3,0.9529833,CLIBA (Higiene Urbana),CLIBA (Higiene Urbana),True,0.008137045,0.011183728,0.0107989,0.9529833,0.016897107
Higiene Urbana,"el vecino tiene un cesto grande y pasa la gente y queda todo roto y lleno de basura y además los mismos vecinos de la cuadra a tirar basura , pide que pongan otra vez el contenedor de plástico",2,2,2,0.7424639,Higiene Urbana,Higiene Urbana,True,0.00049359916,0.0036656472,0.7424639,0.25252193,0.0008548832
Higiene Urbana,gazcon 2414 e olazabal y bulnes falta de barrido,2,2,2,0.9850465,Higiene Urbana,Higiene Urbana,True,0.0011738428,0.0010463259,0.9850465,0.010785252,0.0019481091
Obras Públicas,"vecino informa que arreglaron la calle pero dejaron todo sucio , en la calle posadas al1400 hasta centenario , vecino pide puntualmente que limpien que es un desastre con el barro y la lluvia",1,1,2,0.8785495,Obras Públicas,Higiene Urbana,False,0.00088951475,0.016514337,0.8785495,0.1032697,0.0007768904
Higiene Urbana,no pasa el barrendero ni el camion de las ramas,2,2,2,0.95947385,Higiene Urbana,Higiene Urbana,True,0.0005648985,0.0017391249,0.95947385,0.037273988,0.0009481002
Arbolado Urbano,"vecino pide el recorte y refacción de vereda, pide que la arreglen lo mas pronto posible se hizo un pozo enorme lo cual cuando llueve con el barro las personas se caen, es un desastre la vereda. por favor pide el vecino que la arreglen es un peligro para el que tiene 90 años y las personas que pasan",0,0,0,0.8309686,Arbolado Urbano,Arbolado Urbano,True,0.8309686,0.16312665,0.0032109367,0.0008843564,0.0018095415
Alumbrado,luz quemada hace 1 semana,4,4,4,0.9892051,Alumbrado,Alumbrado,True,0.0008615609,0.0015787745,0.0050647897,0.0032897803,0.9892051
Arbolado Urbano,"el vecino se presenta por un pedido de vereda la cual fue arreglada anteriormente por la municipalidad pero la misma volvió a romper ,el propietario de la casa se cayo varias veces por la situación de la misma",0,0,0,0.7076947,Arbolado Urbano,Arbolado Urbano,True,0.7076947,0.25992018,0.0010063056,0.0022349851,0.029143833
Alumbrado,apagado de luz de vereda,4,4,4,0.9913077,Alumbrado,Alumbrado,True,0.0049781776,0.0007487747,0.0009306378,0.002034756,0.9913077
Arbolado Urbano,pedido de plantación de árboles informe tecnico 5325 plantacion,0,0,0,0.9871414,Arbolado Urbano,Arbolado Urbano,True,0.9871414,0.005733948,0.00091973523,0.0024494051,0.0037555625
Alumbrado,vecino solicita correr la columna de luminaria que obstruye la entrada de su garage,4,4,0,0.9096227,Alumbrado,Arbolado Urbano,False,0.9096227,0.005279656,0.023774909,0.0063356203,0.054987084
CLIBA (Higiene Urbana),falso cumplido recoleccion de poda,3,3,3,0.9929461,CLIBA (Higiene Urbana),CLIBA (Higiene Urbana),True,0.0011622346,0.00076223887,0.0039994475,0.9929461,0.0011300001
Higiene Urbana,contenedor de reciclado de plásticos con base del mismo dañada.,2,2,3,0.8437598,Higiene Urbana,CLIBA (Higiene Urbana),False,0.003999071,0.0022568144,0.14880463,0.8437598,0.0011797684
Arbolado Urbano,vecina solicita arbol en su vereda,0,0,0,0.9926899,Arbolado Urbano,Arbolado Urbano,True,0.9926899,0.00086974114,0.0017051927,0.0020128058,0.0027222836
CLIBA (Higiene Urbana),retiro de poda y escombro,3,3,3,0.9905234,CLIBA (Higiene Urbana),CLIBA (Higiene Urbana),True,0.0005563527,0.0008838998,0.007109711,0.9905234,0.0009265492
Higiene Urbana,solicita se regularice el servicio lo antes posible independencia 800,2,2,2,0.97824687,Higiene Urbana,Higiene Urbana,True,0.0015811835,0.012530888,0.97824687,0.0034896568,0.0041514076
Alumbrado,requiere poda,4,4,0,0.93161654,Alumbrado,Arbolado Urbano,False,0.93161654,0.0018681616,0.00090766593,0.062295932,0.0033117584
Higiene Urbana,hace mas de un mes que no pasa el barrendero en rioja 626,2,2,2,0.9866078,Higiene Urbana,Higiene Urbana,True,0.00046829885,0.0015009657,0.9866078,0.009986632,0.001436302
Arbolado Urbano,"vecina solicita extracciçon de un ficus que levanta la vereda y las ramas estan llegando al balcon en o higgins 402 general paz 990, lo plantó ella hace 7 años y necesita que lo saquen ya que destrozó la vereda.",0,0,0,0.9593341,Arbolado Urbano,Arbolado Urbano,True,0.9593341,0.0014089387,0.0049871462,0.033453356,0.0008163894
Higiene Urbana,ipiranga esq g matorrascontenedor roto.,2,2,3,0.59961015,Higiene Urbana,CLIBA (Higiene Urbana),False,0.19870447,0.116636105,0.08252026,0.59961015,0.002529042
Arbolado Urbano,tras la ultima tormenta se rompio una rama y quedo cogando ensima de los cables,0,0,0,0.98344123,Arbolado Urbano,Arbolado Urbano,True,0.98344123,0.0020378209,0.0006001593,0.0074431035,0.0064777564
Arbolado Urbano,"la vecina solicita poda en jacinto diaz 2811 y el segundo 2838 motivos poda por estar muy altos, demasiada copa, se inclinan a los arboles que se encuentran cerca haciendo que se tuerzan por no tener lugar , tiran pelotitas segun vecino constanemente, uno de llo el de 2838 es muy antiguo y puede derribarse.",0,0,0,0.9944523,Arbolado Urbano,Arbolado Urbano,True,0.9944523,0.0007646331,0.00050277234,0.0035162207,0.0007640594
Obras Públicas,levantamiento de calle,1,1,0,0.8698739,Obras Públicas,Arbolado Urbano,False,0.8698739,0.034242515,0.018060692,0.045491125,0.032331657
Arbolado Urbano,adjunto imagen del reclamo informe tecnico gianna 061124extraccion,0,0,0,0.99316955,Arbolado Urbano,Arbolado Urbano,True,0.99316955,0.0031278823,0.0010665172,0.00070711237,0.0019288681
CLIBA (Higiene Urbana),se necesita recolección de poda,3,3,3,0.9882471,CLIBA (Higiene Urbana),CLIBA (Higiene Urbana),True,0.003255198,0.002432189,0.003856616,0.9882471,0.0022089563
Alumbrado,hace 10 dias apagado completo,4,4,4,0.98806506,Alumbrado,Alumbrado,True,0.0009906715,0.0014880266,0.0049047223,0.0045514815,0.98806506
CLIBA (Higiene Urbana),recoleccion de escombro y mugre fuera de la plaza.,3,3,3,0.9384025,CLIBA (Higiene Urbana),CLIBA (Higiene Urbana),True,0.0002978158,0.0023493804,0.057827827,0.9384025,0.0011224134
Higiene Urbana,"esta es la esquina de rodriguez peña y la avenida santa fe. hace más de un mes que está en este estado, la zona de martínez. es una vergüenza. la suciedad que hay en el partido de san isidro es vergonzoso. quiero ver cuándo se van a poner en práctica todo lo que está diciendo, de limpiar, de todo",2,2,2,0.75618327,Higiene Urbana,Higiene Urbana,True,0.0007898561,0.008831105,0.75618327,0.23313467,0.0010610766
CLIBA (Higiene Urbana),vecina reclama que hace tres semanas que no levantan las hojas mosconi y díaz vélez beccar,3,3,3,0.673483,CLIBA (Higiene Urbana),CLIBA (Higiene Urbana),True,0.061992306,0.0024156712,0.24780558,0.673483,0.014303368
Alumbrado,no funciona hace más de 2 meses las luces qué alumbran la vereda de diego palma 1754 y 1784 son 2 luminarias,4,4,4,0.99534744,Alumbrado,Alumbrado,True,0.0027143375,0.0006584606,0.00043871492,0.0008411049,0.99534744
Higiene Urbana,cuyo esquina caracas. falta barrido.,2,2,2,0.97552425,Higiene Urbana,Higiene Urbana,True,0.00062332314,0.00367363,0.97552425,0.01595196,0.004226897
Alumbrado,"hace 4 meses sin luz, luminaria ubicada entre escalera 81 y 84",4,4,4,0.9943632,Alumbrado,Alumbrado,True,0.0024239444,0.0009046408,0.000705629,0.001602571,0.9943632
Alumbrado,chasque 2889 esquina sarratea boulogne des de el mes de octubre sin funcionar.,4,4,4,0.960496,Alumbrado,Alumbrado,True,0.0013597413,0.008311456,0.008367925,0.02146496,0.960496
Alumbrado,globo apagado,4,4,4,0.97569656,Alumbrado,Alumbrado,True,0.015239402,0.001617865,0.0018577726,0.005588311,0.97569656
Arbolado Urbano,arbol de palta enredando en cables,0,0,0,0.9936872,Arbolado Urbano,Arbolado Urbano,True,0.9936872,0.0007828248,0.00092125457,0.0021990633,0.002409623
Arbolado Urbano,arbol muy grande en la vereda se enrosca en los cables de la calle,0,0,0,0.99545777,Arbolado Urbano,Arbolado Urbano,True,0.99545777,0.0009960075,0.0006459815,0.0010936587,0.0018066575
Obras Públicas,arreglo de calles sobre saenz valiente 1225,1,1,1,0.67888826,Obras Públicas,Obras Públicas,True,0.22625981,0.67888826,0.044153206,0.014956687,0.035742044
Higiene Urbana,"hace meses que no pasa el barrendero, y después del temporal no juntaron la mugre que se hizo a los alrededores. mis impuestos están al día, por favor cumplir con el abl",2,2,2,0.9434761,Higiene Urbana,Higiene Urbana,True,0.0007100291,0.0027940103,0.9434761,0.052478082,0.00054178515
Obras Públicas,reparación de sumidero con falatnte de tapa.,1,1,1,0.72700423,Obras Públicas,Obras Públicas,True,0.008734832,0.72700423,0.22287396,0.03771177,0.0036751924
Arbolado Urbano,"la vecina solicita poda, manifiesta que las ramas están entre los cables eléctricos. info gianna 252 poda limpieza, refaleo y eiiminacion de interferencia en la propiedad",0,0,0,0.99507505,Arbolado Urbano,Arbolado Urbano,True,0.99507505,0.00039516756,0.00079881714,0.0032121213,0.00051885325
